"ScheduleGId","ReportId","ScheduleACount","ScheduleATotal","ScheduleBCount","ScheduleBTotal","UnItemizedCount","UnItemizedTotal","UnItemizedInKindCount","UnItemizedInKindTotal","AllContributionsCount","AllContributionsTotal","ScheduleCTotal","ScheduleBTotalAgain","UnItemizedInKindTotalAgain","ScheduleDTotal","TotalInKindAndExpenditures","BeginningLoanBalance","LoansReceivedTotal","LoansReceivedAndExistingTotal","LoansPaidTotal","NewLoanBalance","ScheduleId","ReportUID"
"111287","124048","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00","39.00","39.00",".00",".00",".00",".00",".00","","{BE0DBD25-E258-C2A6-24B1-9A0E2D917388}"
"111288","124049","1","500.00","2","292.00","11","645.00","3","108.49","17","1545.49",".00","292.00","108.49","78.20","478.69",".00",".00",".00",".00",".00","","{F5B62E46-D963-A51F-1ED9-427224BF9CA8}"
"111289","124050","0",".00","0",".00","0",".00","0",".00","0",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{BFA9B31C-65BA-6C26-4347-9E3DA85A0F9F}"
"111290","124051","2","150.00","0",".00","14","540.00","0",".00","16","690.00",".00",".00",".00","1444.92","1444.92",".00",".00",".00",".00",".00","","{4E827BD7-FFA7-615E-D512-EDA537AF4033}"
"111294","124055","1","5000.00","4","1500.00","0",".00","0",".00","5","6500.00",".00","1500.00",".00","4994.10","6494.10","6900.00",".00","6900.00","6900.00",".00","","{5D59F915-A280-9390-A1BD-9A09C9E48A13}"
"111295","124056","13","6952.80","0",".00","5","370.00","0",".00","18","7322.80",".00",".00",".00","2764.53","2764.53",".00",".00",".00",".00",".00","","{CEF818CF-BDA6-16EF-7FFA-5A3B807BA8E9}"
"111297","124058","7","1620.00","0",".00","11","900.00","0",".00","18","2520.00",".00",".00",".00","2922.59","2922.59","375.00","62.00","437.00",".00","437.00","","{88F2A9B1-D978-558A-A991-1808ADB0775D}"
"111298","124059","11","4768.90","1","1147.78","16","980.00","0",".00","28","6896.68",".00","1147.78",".00","4500.05","5647.83","437.00",".00","437.00",".00","437.00","","{38A29008-422B-ECE3-8122-EF8F37514F0C}"
"111302","124063","1","1000.00","0",".00","0",".00","0",".00","1","1000.00",".00",".00",".00","1046.65","1046.65",".00",".00",".00",".00",".00","","{16C8F701-7D75-3030-7830-92467B7A56D3}"
"111309","124071","2","2000.00","0",".00","0",".00","0",".00","2","2000.00",".00",".00",".00","1046.65","1046.65",".00",".00",".00",".00",".00","","{16C8F701-7D75-3030-7830-92467B7A56D3}"
"111312","124074","1","400.00","0",".00","0",".00","0",".00","1","400.00",".00",".00",".00","209.37","209.37",".00",".00",".00",".00",".00","","{02EB3DA8-E931-52DF-AB4B-17A6629E429B}"
"111314","124076","31","16500.00","2","700.00","24","1090.00","1","9.31","58","18299.31","49.65","700.00","9.31","28420.48","29129.79",".00",".00",".00",".00",".00","","{7921B40F-2E6D-4B39-F1EC-7D6EF666D533}"
"111315","124077","9","766.00","0",".00","14","180.00","0",".00","23","946.00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{42766257-2526-AB46-5332-DE9B30C3A3DA}"
