"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"85256","92965","13905.06","774.73",".00",".00","774.73","14679.79","1070.91",".00",".00","1070.91","13608.88","25500.00","3901.20","17653.49","774.73","18428.22","22329.42","7649.63","1070.91","8720.54","13608.88","","{D5EAB95E-BBE1-80E5-1BBF-9343926614EB}"
"85258","92967","546.31","300.00",".00",".00","300.00","846.31","96.00",".00",".00","96.00","750.31",".00",".00","564.31","300.00","864.31","864.31","18.00","96.00","114.00","750.31","","{70640072-F2EF-6B1D-01EA-3BCE0B6717FA}"
"85260","92968","3997.67","174.00",".00",".00","174.00","4171.67","1188.82",".00",".00","1188.82","2982.85",".00",".00","6995.65","174.00","7169.65","7169.65","2997.98","1188.82","4186.80","2982.85","","{3BA52035-1478-DD32-85B6-D4AB92211121}"
"85263","92972","2956.01","60.00",".00",".00","60.00","3016.01","60.05",".00",".00","60.05","2955.96","3000.00",".00","3000.00","60.00","3060.00","3060.00","43.99","60.05","104.04","2955.96","","{DEF68E85-C23D-541C-BB93-833977FD3EB6}"
"85272","92981","2.17","100.00",".00",".00","100.00","102.17","18.00",".00",".00","18.00","84.17",".00","2.17",".00","100.00","100.00","102.17",".00","18.00","18.00","84.17","","{8CBF7884-BBBC-0A25-4F5D-4D3E015169FA}"
"85273","92982","84.17",".00",".00",".00",".00","84.17",".00",".00",".00",".00","84.17",".00","2.17","100.00",".00","100.00","102.17","18.00",".00","18.00","84.17","","{ACB290EA-1A25-606A-92C7-930FBC463DF9}"
"85274","92983",".00","555.00",".00",".00","555.00","555.00","530.00",".00",".00","530.00","25.00",".00",".00",".00","555.00","555.00","555.00",".00","530.00","530.00","25.00","","{1FFA51B1-774D-4C14-F12B-F37E88045CE5}"
"85279","92988",".00","3700.00",".00",".00","3700.00","3700.00","3101.00",".00",".00","3101.00","599.00",".00",".00",".00","3700.00","3700.00","3700.00",".00","3101.00","3101.00","599.00","","{37581FB3-190D-75BB-2D5D-00B16D0CC56A}"
"85281","92990","2.17","115.83",".00",".00","115.83","118.00","118.00",".00",".00","118.00",".00",".00","2.17",".00","115.83","115.83","118.00",".00","118.00","118.00",".00","","{8CBF7884-BBBC-0A25-4F5D-4D3E015169FA}"
"85282","92991",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","2.17","115.83",".00","115.83","118.00","118.00",".00","118.00",".00","","{ACB290EA-1A25-606A-92C7-930FBC463DF9}"
"85288","92997",".00","4950.00",".00","25.00","4975.00","4975.00","15.78",".00",".00","15.78","4959.22","25.00",".00",".00","4975.00","4975.00","4975.00",".00","15.78","15.78","4959.22","","{09D48572-15EB-1A68-82E3-725C20162FCC}"
"85289","92998",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{E80BAE00-9173-99D1-A8DE-ABBDCFD92983}"
"85292","93000","800.00","6462.50",".00",".00","6462.50","7262.50","3886.43",".00",".00","3886.43","3376.07",".00",".00","800.00","6462.50","7262.50","7262.50",".00","3886.43","3886.43","3376.07","","{A77588DF-4440-1351-C835-8A43EC8B9AAC}"
"85293","93001","624.28",".00",".00",".00",".00","624.28","100.00",".00",".00","100.00","524.28",".00","439.28","2000.00",".00","2000.00","2439.28","1815.00","100.00","1915.00","524.28","","{CDDA21FE-AF42-FE7A-9DA7-3D860D26BBB3}"
"85294","93002","1917.55","1728.20",".00",".00","1728.20","3645.75","1632.15",".00",".00","1632.15","2013.60",".00",".00","3891.55","1728.20","5619.75","5619.75","1974.00","1632.15","3606.15","2013.60","","{55E37B1F-30A8-1592-22E4-B6C0620BF153}"
"85295","93003","363.17",".00",".00",".00",".00","363.17","23.00",".00",".00","23.00","340.17",".00","478.17",".00",".00",".00","478.17","115.00","23.00","138.00","340.17","","{3813062C-78BC-FD96-7364-C51B6A235040}"
"85300","93008","770.37",".00",".00","2000.00","2000.00","2770.37","2412.99",".00",".00","2412.99","357.38","2750.00",".00","850.00","2000.00","2850.00","2850.00","79.63","2412.99","2492.62","357.38","","{16B5003A-B0EB-8FA3-C315-94FC4157A635}"
"85301","93006","800.00","6962.50",".00",".00","6962.50","7762.50","3886.43",".00",".00","3886.43","3876.07",".00",".00","800.00","6962.50","7762.50","7762.50",".00","3886.43","3886.43","3876.07","","{A77588DF-4440-1351-C835-8A43EC8B9AAC}"
"85315","93026","16767.34","635.00",".00",".00","635.00","17402.34","504.30",".00",".00","504.30","16898.04","797.23",".00","156620.27","635.00","157255.27","157255.27","139852.93","504.30","140357.23","16898.04","","{85ACA363-8387-1E9E-3D7B-71C262889A08}"
"85318","93029","109.41","450.00",".00",".00","450.00","559.41","302.44",".00",".00","302.44","256.97",".00",".00","109.41","450.00","559.41","559.41",".00","302.44","302.44","256.97","","{C9D3BEB7-4507-29BF-18FC-BC6A08CFA4E7}"
"85319","93030","100.00","100.00",".00",".00","100.00","200.00",".00",".00",".00",".00","200.00",".00","100.00",".00","100.00","100.00","200.00",".00",".00",".00","200.00","","{F2024ACC-F3C7-4D24-DE7D-6103304E91A1}"
"85323","93034",".00","3815.11",".00",".00","3815.11","3815.11","1314.00",".00",".00","1314.00","2501.11",".00",".00",".00","3815.11","3815.11","3815.11",".00","1314.00","1314.00","2501.11","","{E07B8D54-00A9-44CF-8E9A-86828136CFA9}"
"85324","93035","6128.13","3547.22",".00",".00","3547.22","9675.35","1148.69",".00",".00","1148.69","8526.66",".00","4097.18","2810.00","3547.22","6357.22","10454.40","779.05","1148.69","1927.74","8526.66","","{B96A2FD1-92E5-1595-570E-0588177B35C1}"
"85325","93036",".00","950.00",".00",".00","950.00","950.00","144.92",".00",".00","144.92","805.08",".00",".00",".00","950.00","950.00","950.00",".00","144.92","144.92","805.08","","{6F546F83-3440-FA90-0549-ABD0A57AA438}"
"85326","93037",".00","6404.34",".00",".00","6404.34","6404.34","4582.71",".00",".00","4582.71","1821.63",".00",".00",".00","6404.34","6404.34","6404.34",".00","4582.71","4582.71","1821.63","","{172C6006-D827-7E07-0425-4182DAD06DB7}"
"85328","93039","2062.69","1165.62",".00",".00","1165.62","3228.31","550.62",".00",".00","550.62","2677.69",".00","100.00","2000.00","1165.62","3165.62","3265.62","37.31","550.62","587.93","2677.69","","{E40034BB-0BB3-1A84-6B45-2BE2D960AAA3}"
"85329","93040","2515.01","2670.00",".00",".00","2670.00","5185.01","429.99",".00",".00","429.99","4755.02",".00","2515.01",".00","2670.00","2670.00","5185.01",".00","429.99","429.99","4755.02","","{72ABEB4B-81D1-6053-9439-67D5D5B71CC4}"
"85330","93041","445.63","5530.00",".00",".00","5530.00","5975.63","560.13",".00",".00","560.13","5415.50",".00","3664.61","1100.00","5530.00","6630.00","10294.61","4318.98","560.13","4879.11","5415.50","","{B34BEEA5-174C-AE72-C7D2-83E2221851E5}"
"85331","93042","3005.01","4654.78",".00",".00","4654.78","7659.79","935.45",".00",".00","935.45","6724.34",".00","5251.35",".00","4654.78","4654.78","9906.13","2246.34","935.45","3181.79","6724.34","","{767CC46E-E659-B2B4-C7BF-15D39C2A3138}"
"85333","93044","1224.47",".00",".00",".00",".00","1224.47","1224.47",".00",".00","1224.47",".00",".00","1759.47",".00",".00",".00","1759.47","535.00","1224.47","1759.47",".00","","{7F73EB5E-9982-078E-C7BC-2C203E714807}"
"85334","93045","12.70",".00",".00",".00",".00","12.70",".00",".00",".00",".00","12.70",".00",".00","1600.00",".00","1600.00","1600.00","1587.30",".00","1587.30","12.70","","{CE796036-42E0-EA45-4B03-122FCFEA6C36}"
"85346","93060",".00",".00",".00","5000.00","5000.00","5000.00",".00",".00",".00",".00","5000.00","5000.00",".00",".00","5000.00","5000.00","5000.00",".00",".00",".00","5000.00","","{4A6447A1-C6E0-E3E9-43ED-4F36D81311DF}"
